,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
ENG-Premier League,1415,Chelsea,Thibaut Courtois,BEL,GK,22,1992,32,32,2813,31.3,30,0.96,103,73,70.9,19,9,3,12,37.5,,,,,
ENG-Premier League,1415,Crystal Palace,Julián Speroni,ARG,GK,35,1979,36,36,3204,35.6,49,1.38,138,89,64.5,12,8,16,6,16.7,,,,,
ENG-Premier League,1415,Crystal Palace,Wayne Hennessey,WAL,GK,27,1987,3,2,216,2.4,2,0.83,6,4,66.7,1,1,0,1,50.0,,,,,
ENG-Premier League,1415,Everton,Joel Robles,ESP,GK,24,1990,7,6,585,6.5,6,0.92,21,15,71.4,1,3,3,3,50.0,,,,,
ENG-Premier League,1415,Everton,Tim Howard,USA,GK,35,1979,32,32,2835,31.5,44,1.4,107,63,58.9,11,8,12,7,21.9,,,,,
ENG-Premier League,1415,Hull City,Allan McGregor,SCO,GK,32,1982,26,26,2340,26.0,39,1.5,102,63,61.8,5,7,13,5,19.2,,,,,
ENG-Premier League,1415,Hull City,Eldin Jakupović,SUI,GK,29,1984,3,2,228,2.5,2,0.79,11,9,81.8,0,2,1,1,50.0,,,,,
ENG-Premier League,1415,Hull City,Steve Harper,ENG,GK,39,1975,10,10,852,9.5,10,1.06,40,30,75.0,3,2,5,4,40.0,,,,,
ENG-Premier League,1415,Leicester City,Ben Hamer,ENG,GK,26,1987,8,8,720,8.0,8,1.0,29,21,72.4,3,1,4,3,37.5,,,,,
ENG-Premier League,1415,Leicester City,Kasper Schmeichel,DEN,GK,27,1986,24,24,2160,24.0,37,1.54,112,75,67.0,8,5,11,6,25.0,,,,,
ENG-Premier League,1415,Leicester City,Mark Schwarzer,AUS,GK,41,1972,6,6,540,6.0,10,1.67,31,21,67.7,0,2,4,1,16.7,,,,,
ENG-Premier League,1415,Liverpool,Brad Jones,AUS,GK,32,1982,3,3,195,2.2,5,2.31,9,4,44.4,1,1,0,0,0.0,,,,,
ENG-Premier League,1415,Liverpool,Simon Mignolet,BEL,GK,26,1988,36,35,3225,35.8,43,1.2,130,87,66.9,17,7,12,14,40.0,,,,,
ENG-Premier League,1415,Manchester City,Joe Hart,ENG,GK,27,1987,36,36,3240,36.0,34,0.94,119,85,71.4,22,7,7,14,38.9,,,,,
ENG-Premier League,1415,Manchester City,Willy Caballero,ARG,GK,32,1981,2,2,180,2.0,4,2.0,9,5,55.6,2,0,0,0,0.0,,,,,
ENG-Premier League,1415,Manchester Utd,David de Gea,ESP,GK,23,1990,37,37,3313,36.8,36,0.98,127,91,71.7,20,9,8,11,29.7,,,,,
ENG-Premier League,1415,Manchester Utd,Víctor Valdés,ESP,GK,32,1982,2,1,107,1.2,1,0.84,7,6,85.7,0,1,0,0,0.0,,,,,
ENG-Premier League,1415,Newcastle United,Jak Alnwick,ENG,GK,21,1993,6,5,495,5.5,14,2.55,23,9,39.1,2,1,3,0,0.0,,,,,
ENG-Premier League,1415,Newcastle United,Rob Elliot,IRL,GK,28,1986,3,3,225,2.5,2,0.8,7,5,71.4,1,1,1,1,33.3,,,,,
ENG-Premier League,1415,Newcastle United,Tim Krul,NED,GK,26,1988,30,30,2700,30.0,47,1.57,131,84,64.1,7,7,15,7,23.3,,,,,
ENG-Premier League,1415,QPR,Alex McCarthy,ENG,GK,24,1989,3,2,237,2.6,8,3.04,17,9,52.9,1,0,2,1,50.0,,,,,
ENG-Premier League,1415,QPR,Robert Green,ENG,GK,34,1980,36,36,3183,35.4,65,1.84,192,127,66.1,7,6,22,5,13.9,,,,,
ENG-Premier League,1415,Southampton,Fraser Forster,ENG,GK,26,1988,30,30,2623,29.1,21,0.72,80,59,73.8,15,5,9,13,43.3,,,,,
ENG-Premier League,1415,Southampton,Kelvin Davis,ENG,GK,37,1976,7,6,617,6.9,9,1.31,22,13,59.1,2,1,4,2,33.3,,,,,
ENG-Premier League,1415,Southampton,Paulo Gazzaniga,ARG,GK,22,1992,2,2,180,2.0,3,1.5,7,4,57.1,1,0,1,0,0.0,,,,,
ENG-Premier League,1415,Stoke City,Asmir Begović,BIH,GK,27,1987,35,35,3150,35.0,43,1.23,129,86,66.7,14,8,13,7,20.0,,,,,
ENG-Premier League,1415,Stoke City,Jack Butland,ENG,GK,21,1993,3,3,270,3.0,2,0.67,10,8,80.0,1,1,1,2,66.7,,,,,
ENG-Premier League,1415,Sunderland,Costel Pantilimon,ROU,GK,27,1987,28,28,2520,28.0,33,1.18,139,106,76.3,6,12,10,11,39.3,,,,,
ENG-Premier League,1415,Sunderland,Vito Mannone,ITA,GK,26,1988,10,10,900,10.0,20,2.0,52,32,61.5,1,5,4,2,20.0,,,,,
ENG-Premier League,1415,Swansea City,Gerhard Tremmel,GER,GK,35,1978,2,1,112,1.2,3,2.41,7,4,57.1,0,0,1,0,0.0,,,,,
ENG-Premier League,1415,Swansea City,Łukasz Fabiański,POL,GK,29,1985,37,37,3308,36.8,46,1.25,181,135,74.6,16,8,13,13,35.1,,,,,
ENG-Premier League,1415,Tottenham Hotspur,Hugo Lloris,FRA,GK,27,1986,35,35,3063,34.0,48,1.41,153,105,68.6,17,6,11,8,22.9,,,,,
ENG-Premier League,1415,Tottenham Hotspur,Michel Vorm,NED,GK,30,1983,4,3,357,4.0,5,1.26,17,12,70.6,2,1,1,1,33.3,,,,,
ENG-Premier League,1415,West Brom,Ben Foster,ENG,GK,31,1983,28,28,2485,27.6,34,1.23,108,74,68.5,7,8,12,11,39.3,,,,,
ENG-Premier League,1415,West Brom,Boaz Myhill,WAL,GK,31,1982,11,10,935,10.4,17,1.64,74,57,77.0,4,3,4,5,50.0,,,,,
ENG-Premier League,1415,West Ham United,Adrián,ESP,GK,27,1987,38,38,3392,37.7,47,1.25,171,124,72.5,12,10,15,8,21.1,,,,,
ENG-Premier League,1415,West Ham United,Jussi Jääskeläinen,FIN,GK,39,1975,1,0,28,0.3,0,0.0,3,3,100.0,0,1,0,1,,,,,,
ENG-Premier League,1516,Arsenal,David Ospina,COL,GK,26,1988,4,4,360,4.0,5,1.25,22,17,77.3,2,2,0,2,50.0,,,,,
ENG-Premier League,1516,Arsenal,Petr Čech,CZE,GK,33,1982,34,34,3060,34.0,31,0.91,126,95,75.4,18,9,7,16,47.1,,,,,
ENG-Premier League,1516,Aston Villa,Brad Guzan,USA,GK,30,1984,28,28,2520,28.0,58,2.07,144,86,59.7,1,5,22,2,7.1,,,,,
ENG-Premier League,1516,Aston Villa,Mark Bunn,ENG,GK,30,1984,10,10,900,10.0,18,1.8,42,24,57.1,2,3,5,4,40.0,,,,,
ENG-Premier League,1516,Bournemouth,Adam Federici,AUS,GK,30,1985,6,6,495,5.5,15,2.73,27,12,44.4,0,2,4,0,0.0,,,,,
ENG-Premier League,1516,Bournemouth,Artur Boruc,POL,GK,35,1980,32,32,2880,32.0,51,1.59,123,72,58.5,11,7,14,7,21.9,,,,,
ENG-Premier League,1516,Bournemouth,Ryan Allsop,ENG,GK,23,1992,1,0,45,0.5,1,2.0,2,1,50.0,0,0,0,0,,,,,,
ENG-Premier League,1516,Chelsea,Asmir Begović,BIH,GK,28,1987,17,15,1399,15.5,24,1.54,79,55,69.6,4,5,7,4,26.7,,,,,
ENG-Premier League,1516,Chelsea,Thibaut Courtois,BEL,GK,23,1992,23,23,2020,22.4,29,1.29,93,64,68.8,8,9,5,5,21.7,,,,,
ENG-Premier League,1516,Crystal Palace,Alex McCarthy,ENG,GK,25,1989,7,7,630,7.0,9,1.29,39,30,76.9,3,0,4,0,0.0,,,,,
ENG-Premier League,1516,Crystal Palace,Julián Speroni,ARG,GK,36,1979,2,2,180,2.0,6,3.0,15,9,60.0,0,0,2,0,0.0,,,,,
ENG-Premier League,1516,Crystal Palace,Wayne Hennessey,WAL,GK,28,1987,29,29,2610,29.0,36,1.24,114,78,68.4,8,9,12,8,27.6,,,,,
ENG-Premier League,1516,Everton,Joel Robles,ESP,GK,25,1990,13,13,1170,13.0,20,1.54,64,44,68.8,3,3,7,3,23.1,,,,,
ENG-Premier League,1516,Everton,Tim Howard,USA,GK,36,1979,25,25,2250,25.0,35,1.4,115,80,69.6,8,11,6,7,28.0,,,,,
ENG-Premier League,1516,Leicester City,Kasper Schmeichel,DEN,GK,28,1986,38,38,3420,38.0,36,0.95,136,100,73.5,23,12,3,15,39.5,,,,,
ENG-Premier League,1516,Liverpool,Danny Ward,WAL,GK,22,1993,2,2,180,2.0,4,2.0,13,9,69.2,1,0,1,0,0.0,,,,,
ENG-Premier League,1516,Liverpool,Simon Mignolet,BEL,GK,27,1988,34,34,3060,34.0,42,1.24,111,69,62.2,15,11,8,0,0.0,,,,,
ENG-Premier League,1516,Liverpool,Ádám Bogdán,HUN,GK,27,1987,2,2,180,2.0,4,2.0,6,2,33.3,0,1,1,0,0.0,,,,,
ENG-Premier League,1516,Manchester City,Joe Hart,ENG,GK,28,1987,35,35,3109,34.5,36,1.04,106,70,66.0,17,9,9,15,42.9,,,,,
ENG-Premier League,1516,Manchester City,Willy Caballero,ARG,GK,33,1981,4,3,311,3.5,5,1.45,19,14,73.7,2,0,1,1,33.3,,,,,
ENG-Premier League,1516,Manchester Utd,David de Gea,ESP,GK,24,1990,34,34,3060,34.0,33,0.97,111,78,70.3,17,8,9,15,44.1,,,,,
ENG-Premier League,1516,Manchester Utd,Sergio Romero,ARG,GK,28,1987,4,4,360,4.0,2,0.5,9,7,77.8,2,1,1,3,75.0,,,,,
ENG-Premier League,1516,Newcastle United,Karl Darlow,WAL,GK,24,1990,9,9,810,9.0,11,1.22,34,23,67.6,3,3,3,3,33.3,,,,,
ENG-Premier League,1516,Newcastle United,Rob Elliot,IRL,GK,29,1986,21,21,1890,21.0,37,1.76,94,57,60.6,6,4,11,4,19.0,,,,,
ENG-Premier League,1516,Newcastle United,Tim Krul,NED,GK,27,1988,8,8,720,8.0,17,2.12,50,33,66.0,0,3,5,1,12.5,,,,,
ENG-Premier League,1516,Norwich City,Declan Rudd,ENG,GK,24,1991,11,11,990,11.0,23,2.09,54,31,57.4,3,1,7,2,18.2,,,,,
ENG-Premier League,1516,Norwich City,John Ruddy,ENG,GK,28,1986,27,27,2430,27.0,44,1.63,111,67,60.4,6,6,15,3,11.1,,,,,
ENG-Premier League,1516,Southampton,Fraser Forster,ENG,GK,27,1988,18,18,1620,18.0,17,0.94,67,50,74.6,12,3,3,6,33.3,,,,,
ENG-Premier League,1516,Southampton,Kelvin Davis,ENG,GK,38,1976,1,1,90,1.0,2,2.0,7,5,71.4,0,1,0,0,0.0,,,,,
ENG-Premier League,1516,Southampton,Maarten Stekelenburg,NED,GK,32,1982,17,17,1530,17.0,19,1.12,48,29,60.4,6,5,6,6,35.3,,,,,
ENG-Premier League,1516,Southampton,Paulo Gazzaniga,ARG,GK,23,1992,2,2,180,2.0,3,1.5,11,8,72.7,0,0,2,0,0.0,,,,,
ENG-Premier League,1516,Stoke City,Jack Butland,ENG,GK,22,1993,31,31,2790,31.0,37,1.19,139,102,73.4,13,7,11,10,32.3,,,,,
ENG-Premier League,1516,Stoke City,Jakob Haugaard,DEN,GK,23,1992,5,4,405,4.5,11,2.44,22,11,50.0,0,2,2,0,0.0,,,,,
ENG-Premier League,1516,Stoke City,Shay Given,IRL,GK,39,1976,3,3,225,2.5,7,2.8,14,7,50.0,1,0,2,0,0.0,,,,,
ENG-Premier League,1516,Sunderland,Costel Pantilimon,ROU,GK,28,1987,17,17,1530,17.0,33,1.94,101,68,67.3,3,3,11,3,17.6,,,,,
ENG-Premier League,1516,Sunderland,Jordan Pickford,ENG,GK,21,1994,2,2,180,2.0,6,3.0,17,11,64.7,0,1,1,0,0.0,,,,,
ENG-Premier League,1516,Sunderland,Vito Mannone,ITA,GK,27,1988,19,19,1710,19.0,23,1.21,95,72,75.8,6,8,5,4,21.1,,,,,
ENG-Premier League,1516,Swansea City,Kristoffer Nordfeldt,SWE,GK,26,1989,1,1,90,1.0,1,1.0,5,4,80.0,0,1,0,0,0.0,,,,,
ENG-Premier League,1516,Swansea City,Łukasz Fabiański,POL,GK,30,1985,37,37,3330,37.0,51,1.38,160,109,68.1,12,10,15,9,24.3,,,,,
ENG-Premier League,1516,Tottenham Hotspur,Hugo Lloris,FRA,GK,28,1986,37,37,3330,37.0,34,0.92,119,85,71.4,19,13,5,13,35.1,,,,,
ENG-Premier League,1516,Tottenham Hotspur,Michel Vorm,NED,GK,31,1983,1,1,90,1.0,1,1.0,2,1,50.0,0,0,1,0,0.0,,,,,
ENG-Premier League,1516,Watford,Giedrius Arlauskis,LTU,GK,27,1987,1,0,24,0.3,1,3.75,2,1,50.0,0,0,0,0,,,,,,
ENG-Premier League,1516,Watford,Heurelho Gomes,BRA,GK,34,1981,38,38,3396,37.7,49,1.3,121,72,59.5,12,9,17,11,28.9,,,,,
ENG-Premier League,1516,West Brom,Ben Foster,ENG,GK,32,1983,15,15,1350,15.0,17,1.13,60,43,71.7,3,6,6,4,26.7,,,,,
ENG-Premier League,1516,West Brom,Boaz Myhill,WAL,GK,32,1982,23,23,2070,23.0,31,1.35,95,64,67.4,7,7,9,7,30.4,,,,,
ENG-Premier League,1516,West Ham United,Adrián,ESP,GK,28,1987,32,32,2880,32.0,39,1.22,138,99,71.7,13,14,5,9,28.1,,,,,
ENG-Premier League,1516,West Ham United,Darren Randolph,IRL,GK,28,1987,6,6,540,6.0,12,2.0,24,12,50.0,3,0,3,2,33.3,,,,,
ENG-Premier League,1617,Arsenal,David Ospina,COL,GK,27,1988,2,1,143,1.6,4,2.52,9,5,55.6,0,1,1,0,0.0,0,0,0,0,
ENG-Premier League,1617,Arsenal,Emiliano Martínez,ARG,GK,23,1992,2,2,180,2.0,3,1.5,8,5,75.0,1,0,1,1,50.0,1,1,0,0,0.0
ENG-Premier League,1617,Arsenal,Petr Čech,CZE,GK,34,1982,35,35,3097,34.4,37,1.08,150,113,81.3,22,5,7,12,34.3,9,9,0,0,0.0
ENG-Premier League,1617,Bournemouth,Adam Federici,AUS,GK,31,1985,2,2,180,2.0,3,1.5,8,5,62.5,1,0,1,1,50.0,1,0,0,1,
ENG-Premier League,1617,Bournemouth,Artur Boruc,POL,GK,36,1980,35,35,3150,35.0,63,1.8,176,113,65.3,11,9,15,9,25.7,4,2,2,0,50.0
ENG-Premier League,1617,Bournemouth,Ryan Allsop,ENG,GK,24,1992,1,1,90,1.0,1,1.0,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
ENG-Premier League,1617,Burnley,Paul Robinson,ENG,GK,36,1979,3,3,270,3.0,7,2.33,19,12,63.2,0,0,3,0,0.0,0,0,0,0,
ENG-Premier League,1617,Burnley,Tom Heaton,ENG,GK,30,1986,35,35,3150,35.0,48,1.37,189,141,76.7,11,7,17,10,28.6,5,4,1,0,20.0
ENG-Premier League,1617,Chelsea,Asmir Begović,BIH,GK,29,1987,2,2,180,2.0,5,2.5,6,1,16.7,1,0,1,0,0.0,0,0,0,0,
ENG-Premier League,1617,Chelsea,Thibaut Courtois,BEL,GK,24,1992,36,36,3240,36.0,28,0.78,99,71,73.7,29,3,4,16,44.4,2,2,0,0,0.0
ENG-Premier League,1617,Crystal Palace,Steve Mandanda,FRA,GK,31,1985,9,9,810,9.0,17,1.89,43,26,60.5,3,2,4,0,0.0,0,0,0,0,
ENG-Premier League,1617,Crystal Palace,Wayne Hennessey,WAL,GK,29,1987,29,29,2610,29.0,46,1.59,133,87,66.9,9,3,17,7,24.1,2,2,0,0,0.0
ENG-Premier League,1617,Everton,Joel Robles,ESP,GK,26,1990,20,19,1737,19.3,20,1.04,80,60,77.5,12,4,3,10,52.6,2,2,0,0,0.0
ENG-Premier League,1617,Everton,Maarten Stekelenburg,NED,GK,33,1982,19,19,1683,18.7,24,1.28,68,44,66.2,5,6,8,3,15.8,3,1,1,1,50.0
ENG-Premier League,1617,Hull City,David Marshall,SCO,GK,31,1985,16,16,1440,16.0,44,2.75,107,63,65.4,1,3,12,0,0.0,7,7,0,0,0.0
ENG-Premier League,1617,Hull City,Eldin Jakupović,SUI,GK,31,1984,22,22,1980,22.0,36,1.64,107,71,70.1,8,4,10,5,22.7,7,4,2,1,33.3
ENG-Premier League,1617,Leicester City,Kasper Schmeichel,DEN,GK,29,1986,30,30,2666,29.6,47,1.59,157,110,72.0,10,7,13,8,26.7,3,3,0,0,0.0
ENG-Premier League,1617,Leicester City,Ron-Robert Zieler,GER,GK,27,1989,9,8,754,8.4,16,1.91,33,17,51.5,2,1,5,1,12.5,0,0,0,0,
ENG-Premier League,1617,Liverpool,Loris Karius,GER,GK,23,1993,10,10,900,10.0,12,1.2,32,20,65.6,6,3,1,3,30.0,1,1,0,0,0.0
ENG-Premier League,1617,Liverpool,Simon Mignolet,BEL,GK,28,1988,28,28,2520,28.0,30,1.07,82,52,65.9,16,7,5,9,32.1,4,2,2,0,50.0
ENG-Premier League,1617,Manchester City,Claudio Bravo,CHI,GK,33,1983,22,22,1968,21.9,26,1.19,60,34,56.7,12,5,5,5,22.7,1,0,1,0,100.0
ENG-Premier League,1617,Manchester City,Willy Caballero,ARG,GK,34,1981,17,16,1452,16.1,13,0.81,45,32,75.6,11,4,1,6,37.5,4,2,0,2,0.0
ENG-Premier League,1617,Manchester Utd,David de Gea,ESP,GK,25,1990,35,35,3150,35.0,29,0.83,103,74,75.7,16,14,5,14,40.0,4,4,0,0,0.0
ENG-Premier League,1617,Manchester Utd,Joel Castro Pereira,POR,GK,20,1996,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
ENG-Premier League,1617,Manchester Utd,Sergio Romero,ARG,GK,29,1987,2,2,180,2.0,0,0.0,10,10,100.0,1,1,0,2,100.0,1,0,1,0,100.0
ENG-Premier League,1617,Middlesbrough,Brad Guzan,USA,GK,31,1984,10,10,900,10.0,17,1.7,53,36,69.8,2,3,5,3,30.0,2,1,0,1,0.0
ENG-Premier League,1617,Middlesbrough,Víctor Valdés,ESP,GK,34,1982,28,28,2520,28.0,36,1.29,118,82,72.0,3,10,15,8,28.6,3,3,0,0,0.0
ENG-Premier League,1617,Southampton,Fraser Forster,ENG,GK,28,1988,38,38,3420,38.0,48,1.26,130,82,67.7,12,10,16,14,36.8,9,6,1,2,14.3
ENG-Premier League,1617,Stoke City,Jack Butland,ENG,GK,23,1993,5,5,450,5.0,8,1.6,24,16,66.7,1,2,2,2,40.0,0,0,0,0,
ENG-Premier League,1617,Stoke City,Lee Grant,ENG,GK,33,1983,28,28,2520,28.0,34,1.21,123,89,72.4,10,8,10,9,32.1,0,0,0,0,
ENG-Premier League,1617,Stoke City,Shay Given,IRL,GK,40,1976,5,5,450,5.0,14,2.8,33,19,60.6,0,1,4,0,0.0,2,1,1,0,50.0
ENG-Premier League,1617,Sunderland,Jordan Pickford,ENG,GK,22,1994,29,29,2610,29.0,50,1.72,189,139,74.6,5,4,20,4,13.8,2,2,0,0,0.0
ENG-Premier League,1617,Sunderland,Vito Mannone,ITA,GK,28,1988,9,9,810,9.0,19,2.11,59,40,71.2,1,2,6,2,22.2,2,2,0,0,0.0
ENG-Premier League,1617,Swansea City,Kristoffer Nordfeldt,SWE,GK,27,1989,1,1,90,1.0,1,1.0,5,4,80.0,1,0,0,0,0.0,0,0,0,0,
ENG-Premier League,1617,Swansea City,Łukasz Fabiański,POL,GK,31,1985,37,37,3330,37.0,69,1.86,174,105,63.8,11,5,21,8,21.6,8,6,1,1,14.3
ENG-Premier League,1617,Tottenham Hotspur,Hugo Lloris,FRA,GK,29,1986,34,34,3004,33.4,24,0.72,101,77,77.2,24,5,4,15,44.1,1,1,0,0,0.0
ENG-Premier League,1617,Tottenham Hotspur,Michel Vorm,NED,GK,32,1983,5,4,416,4.6,2,0.43,9,7,88.9,2,3,0,2,50.0,1,1,0,0,0.0
ENG-Premier League,1617,Watford,Costel Pantilimon,ROU,GK,29,1987,2,0,83,0.9,4,4.34,10,6,60.0,0,0,1,0,,0,0,0,0,
ENG-Premier League,1617,Watford,Heurelho Gomes,BRA,GK,35,1981,38,38,3337,37.1,64,1.73,177,113,65.5,11,7,19,6,15.8,4,3,1,0,25.0
ENG-Premier League,1617,West Brom,Ben Foster,ENG,GK,33,1983,38,38,3420,38.0,51,1.34,160,109,70.0,12,9,17,6,15.8,3,3,0,0,0.0
ENG-Premier League,1617,West Ham United,Adrián,ESP,GK,29,1987,16,16,1440,16.0,25,1.56,78,53,70.5,5,4,7,6,37.5,3,2,0,1,0.0
ENG-Premier League,1617,West Ham United,Darren Randolph,IRL,GK,29,1987,22,22,1980,22.0,39,1.77,104,65,65.4,7,5,10,4,18.2,5,3,1,1,25.0
ENG-Premier League,1718,Arsenal,David Ospina,COL,GK,28,1988,5,4,381,4.2,3,0.71,13,10,76.9,3,0,1,2,50.0,0,0,0,0,
ENG-Premier League,1718,Arsenal,Petr Čech,CZE,GK,35,1982,34,34,3039,33.8,48,1.42,137,89,68.6,16,6,12,11,32.4,6,5,1,0,16.7
ENG-Premier League,1718,Bournemouth,Asmir Begović,BIH,GK,30,1987,38,38,3420,38.0,61,1.61,171,110,65.5,11,11,16,6,15.8,4,2,1,1,33.3
ENG-Premier League,1718,Brighton,Mathew Ryan,AUS,GK,25,1992,38,38,3420,38.0,54,1.42,180,126,70.6,9,13,16,10,26.3,3,1,2,0,66.7
ENG-Premier League,1718,Burnley,Nick Pope,ENG,GK,25,1992,35,34,3115,34.6,35,1.01,150,115,78.7,13,11,11,11,32.4,5,3,1,1,25.0
ENG-Premier League,1718,Burnley,Tom Heaton,ENG,GK,31,1986,4,4,305,3.4,4,1.18,14,10,71.4,1,1,1,0,0.0,0,0,0,0,
ENG-Premier League,1718,Chelsea,Thibaut Courtois,BEL,GK,25,1992,35,35,3150,35.0,34,0.97,108,74,70.4,20,6,9,15,42.9,2,2,0,0,0.0
ENG-Premier League,1718,Chelsea,Willy Caballero,ARG,GK,35,1981,3,3,270,3.0,4,1.33,12,8,66.7,1,1,1,1,33.3,0,0,0,0,
ENG-Premier League,1718,Crystal Palace,Julián Speroni,ARG,GK,38,1979,11,11,990,11.0,14,1.27,42,28,69.0,3,5,3,2,18.2,1,1,0,0,0.0
ENG-Premier League,1718,Crystal Palace,Wayne Hennessey,WAL,GK,30,1987,27,27,2430,27.0,41,1.52,132,91,69.7,8,6,13,7,25.9,1,1,0,0,0.0
ENG-Premier League,1718,Everton,Jordan Pickford,ENG,GK,23,1994,38,38,3420,38.0,58,1.53,183,125,69.9,13,10,15,10,26.3,5,3,1,1,25.0
ENG-Premier League,1718,Huddersfield Town,Jonas Lössl,DEN,GK,28,1989,38,38,3420,38.0,57,1.5,164,107,67.7,9,10,19,10,26.3,6,4,2,0,33.3
ENG-Premier League,1718,Leicester City,Ben Hamer,ENG,GK,29,1987,4,3,275,3.1,7,2.29,14,7,57.1,0,1,2,1,33.3,1,1,0,0,0.0
ENG-Premier League,1718,Leicester City,Eldin Jakupović,SUI,GK,32,1984,2,2,180,2.0,6,3.0,5,,-20.0,1,0,1,0,0.0,0,0,0,0,
ENG-Premier League,1718,Leicester City,Kasper Schmeichel,DEN,GK,30,1986,33,33,2965,32.9,47,1.43,141,94,67.4,11,10,12,8,24.2,3,1,2,0,66.7
ENG-Premier League,1718,Liverpool,Loris Karius,GER,GK,24,1993,19,19,1710,19.0,14,0.74,45,31,73.3,11,5,3,10,52.6,3,2,1,0,33.3
ENG-Premier League,1718,Liverpool,Simon Mignolet,BEL,GK,29,1988,19,19,1710,19.0,24,1.26,61,37,63.9,10,7,2,7,36.8,3,2,1,0,33.3
ENG-Premier League,1718,Manchester City,Claudio Bravo,CHI,GK,34,1983,3,2,226,2.5,1,0.4,6,5,83.3,2,0,0,1,50.0,0,0,0,0,
ENG-Premier League,1718,Manchester City,Ederson,BRA,GK,23,1993,36,36,3194,35.5,26,0.73,78,52,66.7,30,4,2,16,44.4,3,0,2,1,100.0
ENG-Premier League,1718,Manchester Utd,David de Gea,ESP,GK,26,1990,37,37,3330,37.0,28,0.76,144,116,81.3,24,6,7,18,48.6,1,1,0,0,0.0
ENG-Premier League,1718,Manchester Utd,Sergio Romero,ARG,GK,30,1987,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
ENG-Premier League,1718,Newcastle United,Karl Darlow,WAL,GK,26,1990,10,10,900,10.0,15,1.5,51,36,76.5,1,5,4,2,20.0,3,3,0,0,0.0
ENG-Premier League,1718,Newcastle United,Martin Dúbravka,SVK,GK,28,1989,12,12,1080,12.0,11,0.92,40,29,72.5,6,1,5,4,33.3,1,0,1,0,100.0
ENG-Premier League,1718,Newcastle United,Rob Elliot,IRL,GK,31,1986,16,16,1440,16.0,21,1.31,66,45,69.7,5,2,9,3,18.8,2,1,1,0,50.0
ENG-Premier League,1718,Southampton,Alex McCarthy,ENG,GK,27,1989,18,18,1620,18.0,26,1.44,66,40,62.1,3,8,7,4,22.2,1,1,0,0,0.0
ENG-Premier League,1718,Southampton,Fraser Forster,ENG,GK,29,1988,20,20,1800,20.0,30,1.5,101,71,70.3,4,7,9,4,20.0,1,0,1,0,100.0
ENG-Premier League,1718,Stoke City,Jack Butland,ENG,GK,24,1993,35,35,3150,35.0,61,1.74,205,144,72.7,7,11,17,6,17.1,5,5,0,0,0.0
ENG-Premier League,1718,Stoke City,Lee Grant,ENG,GK,34,1983,3,3,270,3.0,7,2.33,14,7,50.0,0,1,2,1,33.3,0,0,0,0,
ENG-Premier League,1718,Swansea City,Łukasz Fabiański,POL,GK,32,1985,38,38,3420,38.0,56,1.47,191,135,72.3,8,9,21,9,23.7,7,3,3,1,50.0
ENG-Premier League,1718,Tottenham Hotspur,Hugo Lloris,FRA,GK,30,1986,36,36,3240,36.0,35,0.97,117,82,71.8,22,7,7,15,41.7,3,2,1,0,33.3
ENG-Premier League,1718,Tottenham Hotspur,Michel Vorm,NED,GK,33,1983,1,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
ENG-Premier League,1718,Tottenham Hotspur,Paulo Gazzaniga,ARG,GK,25,1992,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
ENG-Premier League,1718,Watford,Heurelho Gomes,BRA,GK,36,1981,24,24,2128,23.6,40,1.69,103,63,64.1,7,5,12,5,20.8,3,3,0,0,0.0
ENG-Premier League,1718,Watford,Orestis Karnezis,GRE,GK,32,1985,15,14,1292,14.4,24,1.67,55,31,61.8,4,3,7,4,28.6,3,3,0,0,0.0
ENG-Premier League,1718,West Brom,Ben Foster,ENG,GK,34,1983,37,37,3330,37.0,55,1.49,153,98,64.7,6,12,19,10,27.0,1,1,0,0,0.0
ENG-Premier League,1718,West Brom,Boaz Myhill,WAL,GK,34,1982,1,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
ENG-Premier League,1718,West Ham United,Adrián,ESP,GK,30,1987,19,19,1710,19.0,29,1.53,96,67,70.8,7,6,6,6,31.6,1,1,0,0,0.0
ENG-Premier League,1718,West Ham United,Joe Hart,ENG,GK,30,1987,19,19,1710,19.0,39,2.05,93,54,62.4,3,6,10,4,21.1,5,4,1,0,20.0
ENG-Premier League,1819,Arsenal,Bernd Leno,GER,GK,26,1992,32,31,2835,31.5,42,1.33,140,105,75.0,16,7,8,7,22.6,7,7,0,0,0.0
ENG-Premier League,1819,Arsenal,Petr Čech,CZE,GK,36,1982,7,7,585,6.5,9,1.38,36,27,75.0,5,0,2,2,28.6,0,0,0,0,
